SS,,MSTF,
23.95956,89.72979,3.14513,57.37188
23.99907,89.72977,3.15058,53.8087
24.03856,91.27448,3.15602,50.50442
24.07802,92.44256,3.16146,48.848
24.11745,95.05417,3.16689,48.02755
24.15687,98.93619,3.17233,47.9021
24.19625,105.5638,3.17775,47.79869
24.23562,114.1708,3.18318,47.78611
24.27496,127.8437,3.1886,47.94702
24.31427,147.4429,3.19401,48.14589
24.35356,169.1416,3.19943,48.2447
24.39283,192.1604,3.20484,48.4012
24.43207,205.1708,3.21024,48.7379
24.47129,211.8916,3.21564,49.03841
24.51048,200.7542,3.22104,49.46828
24.54965,199.0594,3.22644,49.83513
24.58879,168.635,3.23183,50.3801
24.62791,128.47,3.23722,51.26269
24.66701,108.8,3.2426,52.22808
,,3.24798,53.22149
,,3.25336,54.36564
,,3.25873,55.55132
,,3.2641,56.82932
,,3.26946,58.33328
,,3.27482,59.90976
,,3.28018,61.93747
,,3.28554,63.93766
,,3.29089,65.55192
,,3.29623,66.19494
,,3.30158,66.22952
,,3.30692,66.09969
,,3.31225,67.45799
,,3.31759,71.32121
,,3.32292,75.32457
,,3.32824,75.38525
,,3.33356,71.26424
,,3.33888,67.64293
,,3.34419,68.36899
,,3.3495,73.35686
,,3.35481,76.74336
,,3.36011,80.91647
,,3.36541,97.32642
,,3.37071,164.2196
,,3.376,180.0336
,,3.38129,169.4173
,,3.38657,140.9996
,,3.39185,138.4061
,,3.39713,151.4995
,,3.4024,158.3416
,,3.40767,187.7923
,,3.41294,188.3465
,,3.4182,190.9615
,,3.42346,178.3285
,,3.42872,135.182
,,3.43397,135.1352
,,3.43921,130.6806
,,3.44446,122.9613
,,3.4497,113.9894
,,3.45493,92.08889
,,3.46017,81.17794
,,3.46539,68.98621
,,3.47062,63.20988
,,3.47584,60.28535
,,3.48106,60.69846
,,3.48627,63.77586
,,3.49148,69.9819
,,3.49669,81.10375
,,3.50189,90.49373
,,3.50709,84.94915
,,3.51228,77.19972
,,3.51748,70.9549
,,3.52266,65.76732
,,3.52785,60.50145
,,3.53303,58.00245
,,3.53821,56.53808
,,3.54338,54.52504
,,3.54855,51.47399
,,3.55371,48.33792
,,3.55887,45.23561
,,3.56403,43.32377
,,3.56919,42.06614
,,3.57434,41.51757
,,3.57948,41.12732
,,3.58462,40.83995
,,3.58976,40.48124
,,3.5949,40.15398
,,3.60003,39.87312
,,3.60516,39.83807
,,3.61028,39.71389
,,3.6154,39.60328
,,3.62052,40.15839
,,3.62563,40.19222
,,3.63074,40.15237
,,3.63584,40.28765
,,3.64094,40.26245
,,3.64604,40.37941
,,3.65114,40.41271
,,3.65623,41.00244
,,3.66131,42.21358
,,3.6664,43.6018
,,3.67147,45.37126
,,3.67655,45.50257
,,3.68162,45.20884
,,3.68669,44.85551
,,3.69175,45.16349
,,3.69681,46.82525
,,3.70187,49.35762
,,3.70692,53.08812
,,3.71197,56.51255
,,3.71701,58.63485
,,3.72205,58.92439
,,3.72709,58.15083
,,3.73212,56.68789
,,3.73715,55.01142
,,3.74218,52.77278
,,3.7472,50.28406
,,3.75222,47.99584
,,3.75724,46.23352
,,3.76225,45.34622
,,3.76725,44.99428
,,3.77225,44.67692
,,3.77725,44.74023
,,3.78225,44.76544
,,3.78724,45.14172
,,3.79223,45.29752
,,3.79722,44.85981
,,3.8022,44.71672
,,3.80717,44.79596
,,3.81215,44.78512
,,3.81711,45.12959
,,3.82208,45.43751
,,3.82704,45.79712
,,3.832,46.25539
,,3.83695,46.89953
,,3.8419,47.85537
,,3.84685,49.01463
,,3.85179,50.00831
,,3.85673,50.29773
,,3.86166,49.89359
,,3.8666,49.6917
,,3.87152,49.26611
,,3.87645,49.36476
,,3.88137,49.32233
,,3.88628,49.416
,,3.8912,49.42764
,,3.8961,49.32772
,,3.90101,49.39673
,,3.90591,48.91842
,,3.91081,48.76464
,,3.9157,48.45563
,,3.92059,48.3945
,,3.92547,48.17645
,,3.93036,47.94189
,,3.93523,47.44265
,,3.94011,46.97561
,,3.94498,46.18988
,,3.94985,45.41325
,,3.95471,44.40059
,,3.95957,43.46817
,,3.96442,42.66871
,,3.96928,41.97873
,,3.97412,41.24421
,,3.97897,40.66629
,,3.98381,40.27896
,,3.98864,39.73799
,,3.99348,39.55417
,,3.9983,39.21157
,,4.00313,39.13833
,,4.00795,39.14112
,,4.01277,39.03459
,,4.01758,39.30009
,,4.02239,39.54994
,,4.0272,39.79002
,,4.032,40.17672
,,4.0368,40.47732
,,4.04159,40.81047
,,4.04638,41.14518
,,4.05117,41.37639
,,4.05595,41.80219
,,4.06073,42.23495
,,4.06551,42.8185
,,4.07028,43.56451
,,4.07505,45.02931
,,4.07981,46.73351
,,4.08457,49.30394
,,4.08933,52.30863
,,4.09408,54.83086
,,4.09883,56.4262
,,4.10358,56.96722
,,4.10832,56.32285
,,4.11306,55.33059
,,4.11779,53.79299
,,4.12252,51.91483
,,4.12725,49.55191
,,4.13197,47.1246
,,4.13669,45.2177
,,4.1414,43.92757
,,4.14612,43.51389
,,4.15082,43.85435
,,4.15553,45.15688
,,4.16023,46.09824
,,4.16492,46.23359
,,4.16962,45.02251
,,4.17431,43.47121
,,4.17899,42.03778
,,4.18367,40.90268
,,4.18835,40.42554
,,4.19302,39.94761
,,4.19769,39.84311
,,4.20236,39.58655
,,4.20702,39.29676
,,4.21168,38.99171
,,4.21633,39.15605
,,4.22098,39.69168
,,4.22563,40.36435
,,4.23027,40.35983
,,4.23491,40.2603
,,4.23955,39.57039
,,4.24418,39.02867
,,4.24881,38.6403
