wavelength0,Abs0,wavelength1,Abs1,wavelength2,Abs2
530,0.175196618,530,0.11669974,530,0.064003311
529,0.175406605,529,0.116801687,529,0.064400859
528,0.1755151,528,0.117562622,528,0.064480491
527,0.175500676,527,0.118290119,527,0.065040626
526,0.175413087,526,0.11879959,526,0.065442547
525,0.175486475,525,0.119503222,525,0.065706842
524,0.175654218,524,0.120160922,524,0.065651283
523,0.175741971,523,0.120511957,523,0.06641233
522,0.176055178,522,0.121178269,522,0.066362776
521,0.175777927,521,0.121969782,521,0.067259744
520,0.176050171,520,0.122278608,520,0.067133494
519,0.175956607,519,0.123168886,519,0.067740813
518,0.17604737,518,0.123920232,518,0.068020344
517,0.176121578,517,0.124545552,517,0.068178952
516,0.176078245,516,0.125338808,516,0.068617411
515,0.176306561,515,0.125933453,515,0.068784609
514,0.176597089,514,0.126370519,514,0.069083415
513,0.176507652,513,0.127109423,513,0.069758184
512,0.176572606,512,0.127566323,512,0.070098057
511,0.176688924,511,0.12849237,511,0.07046371
510,0.176779181,510,0.129178822,510,0.070597664
509,0.176897466,509,0.129749805,509,0.071104392
508,0.176857084,508,0.130503193,508,0.071469553
507,0.177132055,507,0.131254256,507,0.071710609
506,0.177048072,506,0.132015243,506,0.072490126
505,0.177153468,505,0.132706523,505,0.072618186
504,0.177185893,504,0.133431241,504,0.073120639
503,0.177315384,503,0.134171799,503,0.073453188
502,0.177458003,502,0.134885907,502,0.073927395
501,0.17736195,501,0.135896921,501,0.074626081
500,0.177516863,500,0.136456937,500,0.074811049
499,0.177770108,499,0.13699837,499,0.075177431
498,0.177620024,498,0.138046518,498,0.075568117
497,0.177960798,497,0.138688117,497,0.076088801
496,0.177861184,496,0.139789462,496,0.076551937
495,0.177998513,495,0.140386924,495,0.076925725
494,0.177915216,494,0.141254082,494,0.077933133
493,0.178162769,493,0.141757116,493,0.078003481
492,0.178147093,492,0.142684102,492,0.078828618
491,0.178484604,491,0.143184573,491,0.079027116
490,0.17814444,490,0.144430444,490,0.079903327
489,0.17851764,489,0.145023808,489,0.080015168
488,0.178476915,488,0.146132663,488,0.080753036
487,0.178674355,487,0.146820009,487,0.081164189
486,0.178711623,486,0.147746638,486,0.081829093
485,0.178815931,485,0.14858,485,0.082182363
484,0.178701237,484,0.149405181,484,0.083207071
483,0.179012165,483,0.149902761,483,0.083419532
482,0.179109007,482,0.150807127,482,0.08398094
481,0.179358736,481,0.151486471,481,0.084232025
480,0.179303497,480,0.152376354,480,0.085032731
479,0.17934911,479,0.152977139,479,0.085778415
478,0.179636478,478,0.153944939,478,0.085987255
477,0.179707259,477,0.15423961,477,0.086840704
476,0.179665983,476,0.155435026,476,0.087384745
475,0.179713324,475,0.156169161,475,0.088305533
474,0.179957286,474,0.156778306,474,0.08864221
473,0.179829821,473,0.157801464,473,0.089579418
472,0.180234224,472,0.158143863,472,0.089710169
471,0.180094153,471,0.159278631,471,0.090643846
470,0.180060953,470,0.160091817,470,0.091496892
469,0.180433855,469,0.160245732,469,0.092054479
468,0.180368394,468,0.161260814,468,0.092846408
467,0.180422992,467,0.162140161,467,0.093124934
