2theta (700C),intensity (700C)
5.11863,-1135.35457
5.12406,-1147.37857
5.12948,-1157.65959
5.13491,-1166.57173
5.14033,-1174.35903
5.14576,-1181.14788
5.15119,-1187.0427
5.15661,-1192.16573
5.16204,-1196.84362
5.16746,-1201.02123
5.17289,-1204.77423
5.17832,-1208.09357
5.18374,-1211.14165
5.18917,-1213.8805
5.19459,-1216.41015
5.20002,-1218.65823
5.20545,-1220.67667
5.21087,-1222.5995
5.2163,-1224.28835
5.22172,-1225.82495
5.22715,-1227.26381
5.23258,-1228.64695
5.238,-1229.89511
5.24343,-1231.01467
5.24885,-1231.99117
5.25428,-1232.95848
5.25971,-1233.94625
5.26513,-1234.79245
5.27056,-1235.5829
5.27598,-1236.33783
5.28141,-1236.9748
5.28684,-1237.42768
5.29226,-1237.94711
5.29769,-1238.57388
5.30311,-1239.09461
5.30854,-1239.56742
5.31397,-1240.08817
5.31939,-1240.43154
5.32482,-1240.76036
5.33024,-1241.07062
5.33567,-1241.49421
5.3411,-1241.80415
5.34652,-1241.98011
5.35195,-1242.05565
5.35737,-1242.17147
5.3628,-1242.3547
5.36823,-1242.53664
5.37365,-1242.6566
5.37908,-1242.76412
5.3845,-1242.96625
5.38993,-1243.07322
5.39536,-1243.10887
5.40078,-1243.13594
5.40621,-1243.23753
5.41164,-1243.18225
5.41706,-1243.10801
5.42249,-1242.98516
5.42791,-1242.8955
5.43334,-1242.78094
5.43877,-1242.7443
5.44419,-1242.64749
5.44962,-1242.49695
5.45504,-1242.30558
5.46047,-1242.22425
5.4659,-1242.09454
5.47132,-1241.96546
5.47675,-1241.68615
5.48217,-1241.35736
5.4876,-1240.98494
5.49303,-1240.64391
5.49845,-1240.27868
5.50388,-1239.94378
5.5093,-1239.58317
5.51473,-1239.17549
5.52016,-1238.75859
5.52558,-1238.29119
5.53101,-1237.75057
5.53643,-1237.13986
5.54186,-1236.51499
5.54729,-1235.87243
5.55271,-1235.19657
5.55814,-1234.52968
5.56356,-1233.76896
5.56899,-1232.89151
5.57442,-1231.95404
5.57984,-1230.94586
5.58527,-1229.88637
5.59069,-1228.84373
5.59612,-1227.58508
5.60155,-1226.14342
5.60697,-1224.68661
5.6124,-1223.17678
5.61782,-1221.4735
5.62325,-1219.57037
