theta (500C),intensity (500C)
6.11702,-1385.89123
6.12245,-1389.18005
6.12787,-1392.82314
6.1333,-1396.81335
6.13872,-1401.08947
6.14415,-1405.56001
6.14958,-1410.17089
6.155,-1414.90855
6.16043,-1419.70014
6.16585,-1424.73362
6.17128,-1429.77264
6.17671,-1434.80564
6.18213,-1439.68432
6.18756,-1444.52569
6.19298,-1449.23862
6.19841,-1453.89852
6.20384,-1458.33965
6.20926,-1462.6363
6.21469,-1466.80714
6.22011,-1470.80509
6.22554,-1474.61559
6.23097,-1478.25172
6.23639,-1481.69743
6.24182,-1484.97675
6.24724,-1488.02628
6.25267,-1490.89066
6.2581,-1493.55482
6.26352,-1496.04796
6.26895,-1498.38865
6.27437,-1500.57101
6.2798,-1502.62798
6.28523,-1504.54185
6.29065,-1506.30534
6.29608,-1507.95471
6.3015,-1509.5694
6.30693,-1511.03764
6.31236,-1512.42123
6.31778,-1513.66787
6.32321,-1514.81953
6.32863,-1515.86941
6.33406,-1516.93452
6.33949,-1517.95242
6.34491,-1518.95598
6.35034,-1519.79953
6.35576,-1520.62153
6.36119,-1521.35584
6.36662,-1522.13428
6.37204,-1522.79134
6.37747,-1523.4558
6.38289,-1524.06846
6.38832,-1524.61253
6.39375,-1525.05024
6.39917,-1525.51543
6.4046,-1525.96249
6.41002,-1526.43645
6.41545,-1526.85406
6.42088,-1527.22048
6.4263,-1527.54597
6.43173,-1527.92551
6.43715,-1528.25529
6.44258,-1528.52123
6.44801,-1528.79887
6.45343,-1529.11864
6.45886,-1529.42099
6.46428,-1529.7299
6.46971,-1529.9837
6.47514,-1530.17618
6.48056,-1530.40803
6.48599,-1530.64091
6.49142,-1530.83099
6.49684,-1530.96984
6.50227,-1531.18255
6.50769,-1531.36346
6.51312,-1531.48525
6.51855,-1531.67105
6.52397,-1531.82047
6.5294,-1531.9409
6.53482,-1532.04622
6.54025,-1532.14934
6.54568,-1532.27141
6.5511,-1532.41554
6.55653,-1532.51509
6.56195,-1532.5577
