Angle,Intensity
27.22,1081.4
27.24,1060.5
27.26,1044.3
27.28,1012.8
27.3,973.2
27.32,957.8
27.34,973.4
27.36,1015.8
27.38,1057
27.4,1118.9
27.42,1190.1
27.44,1282.1
27.46,1427.5
27.48,1557
27.5,1782
27.52,2051
27.54,2269.6
27.56,2739.1
27.58,3137
27.6,3539.3
27.62,4011.7
27.64,4142.7
27.66,4085.9
27.68,3850.1
27.7,3470
27.72,3181.4
27.74,2919
27.76,2705.1
27.78,2570.3
27.8,2609.9
27.82,2851.5
27.84,3139.1
27.86,3305.5
27.88,3010.8
27.9,2585.7
27.92,2240.9
27.94,1941.2
27.96,1591.7
27.98,1293.6
28,1084
28.02,967.4
28.04,940.8
28.06,859.3
28.08,846.9
28.1,834.3
28.12,787.4
28.14,814
28.16,807
28.18,810.3
28.2,832.1
28.22,826
28.24,838.4
28.26,873.9
28.28,925.3
28.3,969.5
28.32,1047.1
28.34,1065.9
28.36,1034.6
28.38,988.9
28.4,949.1
28.42,905.5
28.44,853.5
28.46,789.2
28.48,749.6
28.5,696.6
28.52,682.3
28.54,731.9
28.56,730.4
28.58,716
28.6,711.5
28.62,715.3
28.64,668.1
28.66,714.9
28.68,747.8
28.7,757
28.72,796.6
28.74,845.7
28.76,868.8
28.78,885.4
28.8,940.2
28.82,972.7
28.84,1001.5
28.86,1017.5
28.88,1009.2
28.9,933
28.92,874.9
28.94,830.5
28.96,795.1
28.98,754.7
29,736.9
29.02,733.4
29.04,737.1
29.06,730.2
29.08,683.4
29.1,662.2
29.12,680.1
29.14,722
29.16,689.5
29.18,685.3
29.2,698.8
29.22,678.2
29.24,657.6
29.26,663.4
29.28,667.7
29.3,635
29.32,635.8
29.34,665.4
29.36,682.5
29.38,660
29.4,675.2
29.42,657.9
29.44,642.3
29.46,648.6
29.48,693.5
29.5,684.7
29.52,682
29.54,700.4
29.56,729.3
29.58,718.4
29.6,718.7
29.62,713.6
29.64,651.2
29.66,686.1
29.68,674.1
29.7,639.7
29.72,629.1
29.74,668.4
29.76,696
29.78,684.8
29.8,621.3
29.82,645.7
29.84,659.3
29.86,658.1
29.88,646
29.9,663.5
29.92,675.6
29.94,667.6
29.96,653.7
29.98,703.2
30,644.2
30.02,646.5
30.04,692.7
30.06,674.4
30.08,671.6
30.1,661.7
30.12,656.2
30.14,673.7
30.16,644
30.18,638.6
30.2,649.3
30.22,665.5
30.24,654.8
30.26,671.5
30.28,696
30.3,718.8
30.32,754.6
30.34,764.4
30.36,775.5
30.38,802.2
30.4,863.2
30.42,855.1
30.44,886.9
30.46,937.9
30.48,906.6
30.5,950.7
30.52,983.4
30.54,992.5
30.56,973.4
30.58,927.6
30.6,870
30.62,817.8
30.64,785.8
30.66,753
30.68,746.8
30.7,752.1
30.72,766.1
30.74,837.7
30.76,827.3
30.78,882.7
30.8,1009.6
30.82,994.3
30.84,1078.4
30.86,1236.5
30.88,1436
30.9,1608.1
30.92,1821
30.94,1995.5
30.96,2104.1
30.98,2118.5
31,2046
31.02,1888.7
31.04,1683.5
31.06,1469
31.08,1264.1
31.1,1071.8
31.12,905.3
31.14,780.1
31.16,758.8
31.18,734.5
31.2,702.6
31.22,670.8
31.24,683
31.26,676.7
31.28,658.4
31.3,631.9
31.32,602.9
31.34,609.6
31.36,606.4
31.38,601
31.4,615.4
31.42,588.9
31.44,600.7
31.46,625.3
31.48,631.6
